user_id,device_Id,con_status,con_link,conn_sts_time,createdAt,updatedAt,serial_no
,ObjectId(692829f799ed343add27f1af),true,1,1764241191,2025-11-27T10:59:51.982Z,2025-11-27T10:59:51.982Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241324,2025-11-27T11:02:04.282Z,2025-11-27T11:02:04.282Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764241350,2025-11-27T11:02:30.928Z,2025-11-27T11:02:30.928Z,SPL1601X02000007
,ObjectId(69282a6599ed344c7e27f1b1),true,1,1764241404,2025-11-27T11:03:24.094Z,2025-11-27T11:03:24.094Z,SPL1601X02000008
,ObjectId(69282a6599ed344c7e27f1b1),false,,1764241470,2025-11-27T11:04:30.950Z,2025-11-27T11:04:30.950Z,SPL1601X02000008
,ObjectId(69282ada99ed34eb4427f1b3),true,1,1764241490,2025-11-27T11:04:50.395Z,2025-11-27T11:04:50.395Z,SPL1601X02000009
,ObjectId(69282ada99ed34eb4427f1b3),false,,1764241576,2025-11-27T11:06:16.013Z,2025-11-27T11:06:16.013Z,SPL1601X02000009
,ObjectId(6928334e99ed340fbb27f456),true,1,1764242834,2025-11-27T11:27:14.085Z,2025-11-27T11:27:14.085Z,SPL1601X02000010
,ObjectId(6928334e99ed340fbb27f456),false,,1764242971,2025-11-27T11:29:31.945Z,2025-11-27T11:29:31.945Z,SPL1601X02000010
,ObjectId(6928359599ed3401e327f4a4),true,1,1764243009,2025-11-27T11:30:09.882Z,2025-11-27T11:30:09.882Z,SPL1601X02000011
,ObjectId(6928359599ed3401e327f4a4),false,,1764243062,2025-11-27T11:31:02.169Z,2025-11-27T11:31:02.169Z,SPL1601X02000011
,ObjectId(692835ee99ed34090027f4e8),true,1,1764243102,2025-11-27T11:31:42.935Z,2025-11-27T11:31:42.935Z,SPL1601X02000012
,ObjectId(692835ee99ed34090027f4e8),false,,1764243157,2025-11-27T11:32:37.054Z,2025-11-27T11:32:37.054Z,SPL1601X02000012
,ObjectId(69283b2a99ed34508f27fa63),true,1,1764244518,2025-11-27T11:55:18.877Z,2025-11-27T11:55:18.877Z,SPL1601X02000014
,ObjectId(69283b2a99ed34508f27fa63),false,,1764244577,2025-11-27T11:56:17.888Z,2025-11-27T11:56:17.888Z,SPL1601X02000014
,ObjectId(69283b8899ed34d44e27faa7),true,1,1764244603,2025-11-27T11:56:43.951Z,2025-11-27T11:56:43.951Z,SPL1601X02000015
,ObjectId(69283b8899ed34d44e27faa7),false,,1764244657,2025-11-27T11:57:37.985Z,2025-11-27T11:57:37.985Z,SPL1601X02000015
,ObjectId(69283e3099ed345d0f27fd53),true,1,1764245449,2025-11-27T12:10:49.881Z,2025-11-27T12:10:49.881Z,SPL1601X02000016
,ObjectId(69283e3099ed345d0f27fd53),false,,1764245506,2025-11-27T12:11:46.142Z,2025-11-27T12:11:46.142Z,SPL1601X02000016
,ObjectId(69283e3099ed345d0f27fd53),true,1,1764245561,2025-11-27T12:12:41.828Z,2025-11-27T12:12:41.828Z,SPL1601X02000016
,ObjectId(69283e3099ed345d0f27fd53),true,1,1764245585,2025-11-27T12:13:05.578Z,2025-11-27T12:13:05.578Z,SPL1601X02000016
,ObjectId(69283e3099ed345d0f27fd53),false,,1764245589,2025-11-27T12:13:09.110Z,2025-11-27T12:13:09.110Z,SPL1601X02000016
,ObjectId(69283e3099ed345d0f27fd53),true,1,1764245623,2025-11-27T12:13:43.248Z,2025-11-27T12:13:43.248Z,SPL1601X02000016
,ObjectId(69283e3099ed345d0f27fd53),false,,1764245703,2025-11-27T12:15:03.628Z,2025-11-27T12:15:03.628Z,SPL1601X02000016
,ObjectId(69283fee99ed3443c527fd6e),true,1,1764245729,2025-11-27T12:15:29.837Z,2025-11-27T12:15:29.837Z,SPL1601X02000018
,ObjectId(69283fee99ed3443c527fd6e),false,,1764245793,2025-11-27T12:16:33.727Z,2025-11-27T12:16:33.727Z,SPL1601X02000018
,ObjectId(69283fee99ed3443c527fd6e),true,1,1764245846,2025-11-27T12:17:26.974Z,2025-11-27T12:17:26.974Z,SPL1601X02000018
